iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AGO,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,95428508.46277416,tonnes,annual,2023-10-10 22:40:44.377736,2023-10-27 23:15:06.835991
AGO,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.377716,
AGO,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,817969.1311736408,tonnes,annual,2023-10-10 22:40:44.428058,2023-10-27 23:15:09.389772
AGO,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,25039853.80222852,tonnes,annual,2023-10-10 22:40:44.428048,2023-10-27 23:15:09.389772
AGO,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,49415333.91120302,tonnes,annual,2023-10-10 22:40:44.428077,2023-11-09 22:35:18.479222
AGO,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,92522307.12405393,tonnes,annual,2023-10-10 22:40:44.428086,2023-10-27 23:15:09.389772
AGO,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.428068,
AGO,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,749314.3242915642,tonnes,annual,2023-10-10 22:40:44.480233,2023-10-27 23:15:09.480419
AGO,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,23521025.65249092,tonnes,annual,2023-10-10 22:40:44.480221,2023-10-27 23:15:09.480419
AGO,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,45850592.516379535,tonnes,annual,2023-10-10 22:40:44.480254,2023-11-09 22:35:18.555537
AGO,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,85339457.40654498,tonnes,annual,2023-10-10 22:40:44.480262,2023-10-27 23:15:09.480419
AGO,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.480244,
AGO,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,687375.4207384515,tonnes,annual,2023-10-10 22:40:44.534048,2023-10-27 23:15:09.57033
AGO,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,21529230.872958843,tonnes,annual,2023-10-10 22:40:44.534038,2023-10-27 23:15:09.57033
AGO,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,42013018.41096471,tonnes,annual,2023-10-10 22:40:44.534068,2023-11-09 22:35:18.620909
AGO,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,78237703.0838811,tonnes,annual,2023-10-10 22:40:44.534077,2023-10-27 23:15:09.57033
AGO,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.534059,
AGO,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,650153.47097723,tonnes,annual,2023-10-10 22:40:44.588852,2023-10-27 23:15:09.731119
AGO,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,20215638.831583027,tonnes,annual,2023-10-10 22:40:44.588842,2023-10-27 23:15:09.731119
AGO,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,39590212.266704485,tonnes,annual,2023-10-10 22:40:44.588874,2023-11-09 22:35:18.754762
AGO,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,73853300.1872045,tonnes,annual,2023-10-10 22:40:44.588883,2023-10-27 23:15:09.731119
AGO,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.588864,
AGO,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,558516.3335732975,tonnes,annual,2023-10-10 22:40:44.644013,2023-10-27 23:15:09.806369
AGO,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,17690316.959359035,tonnes,annual,2023-10-10 22:40:44.644003,2023-10-27 23:15:09.806369
AGO,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,34334103.699843295,tonnes,annual,2023-10-10 22:40:44.644034,2023-11-09 22:35:18.827056
AGO,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,63767914.47915608,tonnes,annual,2023-10-10 22:40:44.644042,2023-10-27 23:15:09.806369
AGO,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.644024,
AGO,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,494827.9253942981,tonnes,annual,2023-10-10 22:40:44.69878,2023-10-27 23:15:09.886934
AGO,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,15699221.540175157,tonnes,annual,2023-10-10 22:40:44.698769,2023-10-27 23:15:09.886934
AGO,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,30445093.716925237,tonnes,annual,2023-10-10 22:40:44.698801,2023-11-09 22:35:18.89523
AGO,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,56522525.38520476,tonnes,annual,2023-10-10 22:40:44.69881,2023-10-27 23:15:09.886934
AGO,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.698791,
AGO,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,514227.5250063253,tonnes,annual,2023-10-10 22:40:44.753372,2023-10-27 23:15:09.963406
AGO,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,15517575.782372704,tonnes,annual,2023-10-10 22:40:44.753362,2023-10-27 23:15:09.963406
AGO,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,30841556.0275612,tonnes,annual,2023-10-10 22:40:44.753394,2023-11-09 22:35:18.963609
AGO,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,57941346.59539454,tonnes,annual,2023-10-10 22:40:44.753402,2023-10-27 23:15:09.963406
AGO,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.753384,
AIA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:44.839063,
AIA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:44.839051,
AIA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:44.839082,
AIA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:44.839091,
AIA,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.839072,
AIA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:44.942014,
AIA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:44.942003,
AIA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:44.942033,
AIA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:44.942056,
AIA,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.942023,
AIA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.040937,
AIA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.040926,
AIA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.040956,
AIA,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.040965,
